"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "CSS", "SCSS", "SVG", "comment", "blank", "total"
"d:\PlantLink\README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 7, 22
"d:\PlantLink\firebase.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 4, 0, 15
"d:\PlantLink\firestore.indexes.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\PlantLink\package-lock.json", "JSON", 12721, 0, 0, 0, 0, 0, 0, 0, 1, 12722
"d:\PlantLink\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\PlantLink\src\404.html", "HTML", 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"d:\PlantLink\src\app\contacto.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 2, 3, 29
"d:\PlantLink\src\app\facebookLogin.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 2, 7, 27
"d:\PlantLink\src\app\firebase.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 1, 2, 19
"d:\PlantLink\src\app\githubLogin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 20, 5, 25
"d:\PlantLink\src\app\googleLogin.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 4, 10, 47
"d:\PlantLink\src\app\loginCheck.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"d:\PlantLink\src\app\logout.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\PlantLink\src\app\logout2.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 4, 2, 14
"d:\PlantLink\src\app\postList.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"d:\PlantLink\src\app\showMessage.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 1, 0, 16
"d:\PlantLink\src\app\signinForm.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 2, 6, 32
"d:\PlantLink\src\app\signupForm.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 5, 14, 50
"d:\PlantLink\src\app\volver.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 4, 3, 15
"d:\PlantLink\src\contacto.html", "HTML", 0, 0, 70, 0, 0, 0, 0, 4, 18, 92
"d:\PlantLink\src\index.html", "HTML", 0, 0, 848, 0, 0, 0, 0, 152, 99, 1099
"d:\PlantLink\src\main.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 1, 2, 29
"d:\PlantLink\src\perfil.html", "HTML", 0, 0, 501, 0, 0, 0, 0, 26, 65, 592
"d:\PlantLink\src\public\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"d:\PlantLink\src\public\css\bootstrap\bootstrap.css", "CSS", 0, 0, 0, 0, 7341, 0, 0, 6, 803, 8150
"d:\PlantLink\src\public\css\owl.carousel.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"d:\PlantLink\src\public\css\style.css", "CSS", 0, 0, 0, 0, 165, 0, 0, 0, 42, 207
"d:\PlantLink\src\public\fonts\icomoon\demo-files\demo.css", "CSS", 0, 0, 0, 0, 154, 0, 0, 0, 2, 156
"d:\PlantLink\src\public\fonts\icomoon\demo-files\demo.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"d:\PlantLink\src\public\fonts\icomoon\demo.html", "HTML", 0, 0, 24502, 0, 0, 0, 0, 2, 1634, 26138
"d:\PlantLink\src\public\fonts\icomoon\fonts\icomoon.svg", "SVG", 0, 0, 0, 0, 0, 0, 1530, 0, 0, 1530
"d:\PlantLink\src\public\fonts\icomoon\selection.json", "JSON", 41190, 0, 0, 0, 0, 0, 0, 0, 0, 41190
"d:\PlantLink\src\public\fonts\icomoon\style.css", "CSS", 0, 0, 0, 0, 4914, 0, 0, 2, 4, 4920
"d:\PlantLink\src\public\index_estilos\css\animate.css", "CSS", 0, 0, 0, 0, 2331, 0, 0, 4, 397, 2732
"d:\PlantLink\src\public\index_estilos\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
"d:\PlantLink\src\public\index_estilos\css\classy-nav.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\PlantLink\src\public\index_estilos\css\custom-icon.css", "CSS", 0, 0, 0, 0, 141, 0, 0, 2, 3, 146
"d:\PlantLink\src\public\index_estilos\css\font-awesome.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 3, 1, 5
"d:\PlantLink\src\public\index_estilos\css\magnific-popup.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\PlantLink\src\public\index_estilos\css\owl.carousel.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"d:\PlantLink\src\public\index_estilos\css\style.css", "CSS", 0, 0, 0, 0, 146, 0, 0, 3, 28, 177
"d:\PlantLink\src\public\index_estilos\css\styles_movil.css", "CSS", 0, 0, 0, 0, 37, 0, 0, 3, 5, 45
"d:\PlantLink\src\public\index_estilos\css\themify-icons.css", "CSS", 0, 0, 0, 0, 1077, 0, 0, 1, 4, 1082
"d:\PlantLink\src\public\index_estilos\fonts\classy.svg", "SVG", 0, 0, 0, 0, 0, 0, 11, 0, 0, 11
"d:\PlantLink\src\public\index_estilos\fonts\fontawesome-webfont.svg", "SVG", 0, 0, 0, 0, 0, 0, 2671, 0, 1, 2672
"d:\PlantLink\src\public\index_estilos\fonts\icomoon.svg", "SVG", 0, 0, 0, 0, 0, 0, 50, 0, 0, 50
"d:\PlantLink\src\public\index_estilos\fonts\lg.svg", "SVG", 0, 0, 0, 0, 0, 0, 41, 0, 0, 41
"d:\PlantLink\src\public\index_estilos\index.html", "HTML", 0, 0, 417, 0, 0, 0, 0, 35, 134, 586
"d:\PlantLink\src\public\index_estilos\js\active.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 9, 17, 117
"d:\PlantLink\src\public\index_estilos\js\bootstrap\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"d:\PlantLink\src\public\index_estilos\js\bootstrap\popper.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"d:\PlantLink\src\public\index_estilos\js\google-map\map-active.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 40
"d:\PlantLink\src\public\index_estilos\js\jquery.cbpQTRotator.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 10, 0, 11
"d:\PlantLink\src\public\index_estilos\js\jquery\jquery-2.2.4.min.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
"d:\PlantLink\src\public\index_estilos\js\plugins\plugins.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 63, 14, 109
"d:\PlantLink\src\public\index_estilos\scss\_mixin.scss", "SCSS", 0, 0, 0, 0, 0, 57, 0, 0, 11, 68
"d:\PlantLink\src\public\index_estilos\scss\_responsive.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 5, 11
"d:\PlantLink\src\public\index_estilos\scss\_theme_color.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 10, 9, 29
"d:\PlantLink\src\public\index_estilos\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"d:\PlantLink\src\public\index_estilos\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 1373, 0, 27, 102, 1502
"d:\PlantLink\src\public\index_estilos\style.css", "CSS", 0, 0, 0, 0, 1305, 0, 0, 31, 154, 1490
"d:\PlantLink\src\public\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"d:\PlantLink\src\public\js\jquery-3.3.1.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1, 0, 2
"d:\PlantLink\src\public\js\main.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"d:\PlantLink\src\public\js\owl.carousel.min.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"d:\PlantLink\src\public\js\popper.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"d:\PlantLink\src\public\sensores\style.css", "CSS", 0, 0, 0, 0, 82, 0, 0, 34, 18, 134
"d:\PlantLink\src\sensores.html", "HTML", 0, 0, 177, 0, 0, 0, 0, 12, 27, 216
"d:\PlantLink\src\verificacion.html", "HTML", 0, 0, 64, 0, 0, 0, 0, 1, 4, 69
"Total", "-", 53949, 15, 26611, 464, 17700, 1447, 4303, 540, 3680, 108709