"filename", "language", "JavaScript", "CSS", "SVG", "JSON", "HTML", "comment", "blank", "total"
"d:\PlantLink\src\public\fonts\icomoon\demo-files\demo.css", "CSS", 0, -154, 0, 0, 0, 0, -2, -156
"d:\PlantLink\src\public\fonts\icomoon\demo-files\demo.js", "JavaScript", -28, 0, 0, 0, 0, 0, -3, -31
"d:\PlantLink\src\public\fonts\icomoon\demo.html", "HTML", 0, 0, 0, 0, -24502, -2, -1634, -26138
"d:\PlantLink\src\public\fonts\icomoon\fonts\icomoon.svg", "SVG", 0, 0, -1530, 0, 0, 0, 0, -1530
"d:\PlantLink\src\public\fonts\icomoon\selection.json", "JSON", 0, 0, 0, -41190, 0, 0, 0, -41190
"d:\PlantLink\src\public\fonts\icomoon\style.css", "CSS", 0, -4914, 0, 0, 0, -2, -4, -4920
"d:\PlantLink\src\public\js\bootstrap.min.js", "JavaScript", -1, 0, 0, 0, 0, -6, 0, -7
"d:\PlantLink\src\public\js\jquery-3.3.1.min.js", "JavaScript", -1, 0, 0, 0, 0, -1, 0, -2
"d:\PlantLink\src\public\js\main.js", "JavaScript", -9, 0, 0, 0, 0, 0, -5, -14
"d:\PlantLink\src\public\js\owl.carousel.min.js", "JavaScript", -2, 0, 0, 0, 0, -5, 0, -7
"d:\PlantLink\src\public\js\popper.min.js", "JavaScript", -1, 0, 0, 0, 0, -4, 0, -5
"Total", "-", -42, -5068, -1530, -41190, -24502, -20, -1648, -74000